,"It [141, 3]"
1426,-94.10638
1427,-98.5289
1428,-90.4248
1429,-103.65965
1430,-97.1302
1431,-15.665844
1432,-28.775965
1433,-29.575827
1434,-21.671606
1435,-16.98032
1436,-17.793758
1437,18.320387
1438,13.002973
1439,-101.32817
1440,25.663631
1441,22.55324
1442,22.64046
1443,-83.45767
1444,9.419458
1445,9.526994
1446,9.497934
1447,29.30185
1448,15.421356
1449,-87.15343
1450,-88.23573
1451,2.7782564
1452,-24.799938
1453,-32.04392
1454,-25.964275
1455,-27.527836
1456,40.368385
1457,40.942356
1458,41.512924
1459,41.900314
1460,48.07133
1461,55.45496
1462,45.972412
1463,43.231007
1464,50.825085
1465,47.934284
1466,49.4653
1467,-18.964138
1468,38.508766
1469,-18.766716
1470,49.34027
1471,54.787285
1472,61.152626
1473,49.62893
1474,-20.753347
1475,28.549755
1476,38.938133
1477,33.778854
1478,34.622066
1479,42.023754
1480,33.777725
1481,32.77775
1482,30.753204
1483,27.28335
1484,-1.9711134
1485,-23.705727
1486,-24.15635
1487,27.489128
1488,-73.72624
1489,20.325104
1490,-4.7058463
1491,26.643518
1492,28.038725
1493,35.254524
1494,46.634224
1495,42.14232
1496,36.81835
1497,34.27241
1498,26.438316
1499,23.285591
1500,38.56412
1501,34.309658
1502,37.05811
1503,24.795315
1504,24.771643
1505,30.844326
1506,34.018726
1507,-109.58822
1508,62.2305
1509,55.99123
1510,39.835728
1511,32.73333
1512,32.409065
1513,38.78862
1514,40.68703
1515,24.873543
1516,23.20213
1517,16.599564
1518,33.61287
1519,26.488312
1520,28.750042
1521,29.640213
1522,32.72331
1523,36.826656
1524,34.92422
1525,29.505665
1526,50.802586
1527,45.49705
1528,43.345272
1529,39.278233
1530,-81.74165
1531,31.564528
1532,47.386555
1533,35.07139
1534,35.453373
1535,27.317892
1536,42.421986
1537,-101.67157
1538,-90.97469
1539,40.166668
1540,36.70443
1541,32.928123
1542,42.922203
1543,37.03649
1544,38.656143
1545,52.831127
1546,51.839233
1547,-87.44634
1548,24.954576
1549,-7.08793
1550,14.098067
1551,-100.775276
1552,12.811907
1553,20.74277
1554,23.620327
1555,32.40905
1556,17.20024
1557,24.957832
1558,28.805328
1559,23.849888
1560,37.399445
1561,45.377007
1562,-65.187744
1563,29.305557
1564,28.834639
1565,-99.177345
1566,20.166895
1567,23.048433
1568,33.31846
1569,43.658417
1570,-116.922775
1571,-107.19092
1572,-121.340225
1573,37.515106
1574,39.1599
1575,-83.31248
1576,-88.88938
1577,31.496752
1578,35.9924
1579,-112.5872
1580,15.21654
1581,33.90347
1582,55.025032
1583,41.43308
1584,26.279026
1585,26.159906
1586,-128.8389
1587,2.24195
1588,-101.39416
1589,27.459623
1590,34.982533
1591,38.21217
1592,-98.85197
1593,-89.33796
1594,-79.37148
1595,-105.79278
1596,-100.59826
1597,21.598871
1598,31.0277
1599,23.551395
1600,23.8888
1601,46.3631
1602,57.505447
1603,54.3313
1604,40.657204
1605,38.155727
1606,34.548164
1607,21.05472
1608,20.6451
1609,15.88951
1610,-94.993805
1611,-95.82013
1612,45.659428
1613,41.97751
1614,-94.632706
1615,38.478397
1616,37.42678
1617,29.203733
1618,28.877792
1619,34.681633
1620,36.03955
1621,40.344265
1622,15.715529
1623,-105.94683
1624,39.971794
1625,49.031994
1626,61.658817
1627,-115.872246
1628,52.71723
1629,-102.696976
1630,34.103172
1631,40.628937
1632,57.785587
1633,47.02166
1634,41.91504
1635,-122.89336
1636,-126.88924
1637,-124.36435
1638,51.639515
1639,45.612648
1640,21.704288
1641,32.971363
1642,46.437786
1643,53.315544
1644,55.813377
1645,48.20466
1646,44.553905
1647,36.903023
1648,43.909714
1649,52.49862
1650,51.621597
1651,-95.72903
1652,55.211388
1653,25.183474
1654,25.611746
1655,21.281094
1656,41.334522
1657,8.338331
1658,-99.429344
1659,-124.597626
1660,63.057163
1661,47.68763
1662,41.241825
1663,-86.29893
1664,-85.239815
1665,24.46235
1666,-101.88733
1667,50.13768
1668,48.80752
1669,40.531475
1670,-92.20027
1671,8.777302
1672,11.579462
1673,6.976587
1674,29.28069
1675,53.08684
1676,50.65333
1677,46.24818
1678,41.991802
1679,-106.30366
1680,-99.793594
1681,-102.38161
1682,49.608322
1683,40.31653
1684,55.208076
1685,52.749905
1686,40.393196
1687,-100.90462
