,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9
137,-10.7412,-9.336422,-99.026665,-100.3374,-8.8528385,-11.38317,-112.76622,-12.323395,-23.216822,-11.672672
138,-97.544044,-99.88739,-111.99852,-97.34361,-100.13092,-99.3301,-111.797386,-96.60106,-97.09378,-114.382515
139,-12.820144,-113.54331,-10.875212,-98.500015,-98.80352,-111.71676,-23.487612,-96.9758,-97.305725,-17.882566
140,-12.011771,-109.84026,-100.2088,-19.789091,-120.575035,-16.94355,-15.946162,-21.160692,-115.71077,-100.35957
141,-120.74614,-106.3547,-100.35539,-16.212656,-112.47558,-103.255035,-114.72257,-94.23802,-14.234213,-20.342196
142,-97.49552,-107.70151,-10.340473,-13.5904665,-99.288055,-113.007484,-96.83865,-102.357925,-99.175766,-114.0232
143,-100.56875,-96.628204,-101.17195,-13.806611,-99.590675,-104.6785,-109.110886,-99.172,-14.334501,-104.890175
144,-14.374339,-17.657698,-98.87329,-97.85951,-126.08515,-8.875725,-111.37192,-97.00084,-20.607296,-111.54191
145,-98.028114,-16.598263,-18.635077,-96.009,-99.65045,-21.506733,-109.036194,-11.008249,-16.20063,-109.94249
146,-14.925709,-119.72589,-118.056046,-102.26957,-112.36775,-15.006854,-99.94539,-115.41719,-121.80348,-16.73286
147,-95.3511,-19.927769,-120.64586,-100.71235,-98.52903,-9.888463,-97.968575,-12.473804,-98.237206,-21.28772
148,-95.92859,-111.27909,-112.44659,-96.40816,-98.03072,-97.89448,-97.16088,-126.769806,-97.58804,-16.763432
149,-119.03359,-128.81203,-100.48358,-96.04562,-111.612686,-93.545425,-16.62592,-114.5078,-119.50821,-14.8514595
150,-110.494026,-105.56111,-100.17167,-100.01986,-107.6946,-101.04768,-11.049783,-97.452095,-97.84891,-111.92202
151,-3.8835168,-98.10152,-99.313255,-115.77037,-103.03601,-105.92411,-98.73806,-114.3583,-110.044525,-95.13512
152,-98.215385,-12.142073,-97.91684,-120.82417,-100.196846,-105.29851,-96.73398,-97.64924,-119.13708,-100.981155
153,-14.792451,-120.52608,-96.45341,-108.91823,-99.887825,-11.8917885,-19.385191,-111.212326,-96.31972,-14.5814295
154,-99.11025,-106.280266,-100.56496,-101.334465,-97.9223,-98.834496,-102.88462,-100.098526,-100.20633,-23.964088
155,-101.07867,-102.18019,-96.470276,-113.2326,-98.064224,-9.95695,-96.71265,-113.235344,-9.376518,-18.887333
156,-24.347643,-14.136186,-97.74316,-118.58871,-15.910245,-11.701604,-97.61478,-97.84548,-97.684555,-95.88324
157,-121.49864,-98.89187,-98.93279,-116.48024,-101.70802,-95.26432,-97.957405,-14.390235,-100.08614,-18.189934
158,-99.736626,-115.42556,-112.378494,-100.016945,-97.112045,-114.11289,-116.84021,-12.751937,-28.51686,-107.82437
159,-12.313681,-97.98684,-108.8174,-113.556274,-117.638824,-97.283356,-97.937805,-94.696304,-114.9946,-96.43743
160,-98.224945,-95.545876,-113.73482,-15.313717,-99.91177,-110.6512,-98.92365,-97.66479,-119.11243,-96.19043
161,-14.691815,-98.14867,-101.2762,-116.31751,-13.463498,-98.86005,-101.13113,-99.740395,-18.677473,-105.91812
162,-13.800608,-112.98064,-11.102903,-19.982376,-99.81567,-98.28701,-16.494919,-98.40827,-16.079016,-10.113219
163,-101.70308,-96.57684,-99.142654,-109.59284,-14.877222,-110.24197,-24.236244,-114.30938,-16.318317,-97.86433
164,-98.24801,-100.94278,-8.348036,-107.99194,-11.879729,-110.30645,-15.542756,-21.547771,-122.14901,-97.088135
165,-113.936485,-98.89071,-16.94469,-111.9696,-97.51515,-13.128427,-114.373116,-20.405315,-118.51582,-110.9511
166,-96.760826,-97.61599,-100.23606,-112.37887,-13.815343,-103.1074,-99.85941,-113.822495,-96.23627,-97.28089
167,-98.23432,-11.3914585,-103.1974,-16.221344,-98.419754,-22.711758,-14.474354,-111.122574,-98.1362,-13.475307
168,-97.47853,-95.53263,-17.694891,-13.793999,-15.6410055,-98.34644,-12.459255,-21.60953,-24.174599,-11.169557
169,-115.76759,-111.314255,-102.0488,-14.32802,-111.404144,-99.241264,-23.526236,-17.400116,-116.80787,-10.950336
170,-97.484825,-18.487003,-97.75312,-22.668503,-110.60295,-16.128544,-101.24253,-26.477371,-123.83091,-99.373436
171,-20.127424,-19.060951,-99.72229,-100.96896,-113.58519,-98.36362,-102.25187,-98.43207,-104.881546,-95.37807
172,-94.97323,-116.79143,-98.14168,-13.284837,-119.21297,-8.764304,-98.0373,-6.382619,-19.753754,-112.06694
173,-96.55441,-104.702576,-120.294556,-16.42262,-96.54667,-97.579636,-93.52658,-98.24228,-32.296463,-108.22398
174,-95.904396,-16.153126,-108.388016,-18.002695,-99.63565,-99.89001,-110.01025,-115.470245,-110.14086,-111.52129
175,-102.52502,-111.5981,-97.04584,-97.14139,-99.23916,-111.03305,-98.450645,-15.436078,-97.2558,-97.41881
